Year,Trend,Search
1960s, Miniskirt, 293,000,000
1960s, Leopard Print, 128,000,000
1960s, Beret, 126,000,000
1960s, Tuxedo, 188,000,000
1960s, Babydoll Dress, 43,600,000
1960s, Orange and Brown, 457,000,000
1960s, Flares, 1,480,000,000
1960s, Pillbox Hat, 5,640,000
1960s, Space-Age Fashion, 482,000,000
1960s, Vinyl, 234,000,000
1960s, Mod, 3,330,000,000
1960s, Off-the-Shoulder, 1,450,000,000
1960s, Oversized Sunglasses, 2,230,000,000
1960s, Contrasting Buttons, 424,000,000
1960s, Beatnik, 13,500,000
1960s, Tonal Dressing, 5,140,000
1960s, Sequins, 148,000,000
1960s, Clashing Prints, 627,000
1960s, White Boots, 2,560,000,000
1960s, Satin Blouse, 52,400,000
1960s, Fringe, 341,000,000
1960s, Trophy Jacket, 34,000,000
1960s, Twinning, 120,000,000
1960s, Go-go Boots, 1,010,000,000
1960s, Capri Pants, 25,700,000
1960s, Swing Coat, 48,600,000
1960s, Twiggy, 11,500,000
1960s, Culottes, 81,200,000
1960s, PVC, 52,300,000
1970s, Bell-Bottoms, 84,200,000
1970s, Glitter, 377,000,000
1970s, Glam Rock, 51,800,000
1970s, Disco, 1,260,000,000
1970s, Platform Shoes, 613,000,000
1970s, Tie-Dye, 158,000,000
1970s, Poncho, 87,300,000
1970s, Gauchos, 40,900,000
1970s, Frayed Jeans, 32,700,000
1970s, Floppy Hats, 15,100,000
1970s, Balumba Balls, 40,100
1970s, Hippie, 220,000,000
1970s, Turbans, 235,000,000
1970s, Clogs, 169,000,000
1970s, Wedgies, 36,000,000
1970s, Hot Pants, 1,360,000,000
1970s, Mary Janes, 15,900,000
1970s, Mood Ring, 168,000,000
1970s, Palazzo Pants, 95,800,000
1970s, Pastel Colors, 666,000,000
1970s, Pantsuit, 152,000,000
1970s, Satin, 597,000,000
1970s, Crochet, 281,000,000
1970s, Boho, 225,000,000
1970s, Patchwork, 101,000,000
1970s, Patent-Leather, 90,500,000
1970s, Knee-High Boots, 219,000,000
1970s, Jumpsuits, 171,000,000
1970s, Halter Top, 97,400,000
1970s, Paisley-Prints, 15,400,000
1980s, Aerobic Gear, 14,900,000
1980s, Spandex, 151,000,000
1980s, Ripped Knees, 16,800,000
1980s, Lacey Shirts, 4,560,000
1980s, Leg Warmers, 16,100,000
1980s, High Waisted Jeans, 95,200,000
1980s, Neon Colors, 165,000,000
1980s, Mullets, 60,300,000
1980s, Harem Pants, 14,400,000
1980s, Cut-Off Sweatshirts, 37,900,000
1980s, Structured-Shoulders, 42,400,000
1980s, White Jeans, 3,630,000,000
1980s, Polka Dots, 46,900,000
1980s, Bodysuits, 332,000,000
1980s, Naked Dress, 2,060,000,000
1980s, Turtlenecks, 58,000,000
1980s, See-Through Layers, 1,740,000,000
1980s, Corset Belts, 14,300,000
1980s, Chunky Jewelry, 21,900,000
1980s, Checked Outerwear, 134,000,000
